iter	Logloss
0	0.6706212517
1	0.6509407339
2	0.6339714735
3	0.6165090162
4	0.6026567305
5	0.5913159702
6	0.5797850342
7	0.5692902868
8	0.5595579342
9	0.5498806131
10	0.5422000617
11	0.535139987
12	0.5289834747
13	0.5237954752
14	0.5183045324
15	0.5131343358
16	0.5088466764
17	0.5049709921
18	0.5011189063
19	0.4978177787
20	0.4948570322
21	0.4917711614
22	0.4892443653
23	0.4863662905
24	0.4839898163
25	0.4816733725
26	0.4790696973
27	0.476502457
28	0.4743946701
29	0.4724471317
30	0.4708780652
31	0.4693797606
32	0.4679383819
33	0.4666281742
34	0.4652380478
35	0.4640068981
36	0.462776118
37	0.4615935255
38	0.460306879
39	0.4589778155
40	0.4579247237
41	0.4564921162
42	0.4556162966
43	0.4545201136
44	0.4535955341
45	0.4529221926
46	0.4522729606
47	0.4513308075
48	0.4505564761
49	0.4497485048
50	0.4489734888
51	0.4481982892
52	0.4470476915
53	0.4465263889
54	0.4458516615
55	0.4452641658
56	0.4445810607
57	0.4440215507
58	0.4433698807
59	0.4429266424
60	0.4419981742
61	0.4412818192
62	0.4404190593
63	0.4398387487
64	0.439229814
65	0.4388106642
66	0.4382464841
67	0.4378189988
68	0.4374051536
69	0.436482672
70	0.4358523407
71	0.4352032651
72	0.4345530652
73	0.4342841177
74	0.4337003896
75	0.4332218581
76	0.4325911158
77	0.4322624552
78	0.4318267991
79	0.431356941
80	0.4310171166
81	0.4306671331
82	0.4301289871
83	0.4296555078
84	0.4291614273
85	0.4287781493
86	0.4283081297
87	0.4280301334
88	0.4275566675
89	0.4272586443
90	0.4266906549
91	0.4264710184
92	0.4260171069
93	0.4256391307
94	0.4252971737
95	0.4249786539
96	0.4246741146
97	0.4243603002
98	0.4240099086
99	0.4231612741
100	0.4228001404
101	0.4224719237
102	0.4221423399
103	0.4217709841
104	0.4215042352
105	0.4211618726
106	0.4206935112
107	0.4203788376
108	0.4201303168
109	0.4197821903
110	0.4196710873
111	0.4189927912
112	0.4184905656
113	0.4182545136
114	0.4180436173
115	0.4177800055
116	0.4172939747
117	0.4170225875
118	0.4167823068
119	0.4166377207
120	0.4162648477
121	0.4159310389
122	0.415541065
123	0.4152574347
124	0.4148992876
125	0.4145789064
126	0.4143673897
127	0.4140568556
128	0.4137690249
129	0.4135754008
130	0.4133468467
131	0.4131765343
132	0.4129984228
133	0.4127376917
134	0.4124681353
135	0.4122877284
136	0.4121338073
137	0.4117697416
138	0.4114885227
139	0.4112822752
140	0.4112376722
141	0.4109338421
142	0.4105244065
143	0.4102883813
144	0.4100741264
145	0.4098597842
146	0.4096701315
147	0.4093171274
148	0.4090131908
149	0.4087324728
150	0.408507302
151	0.4082920858
152	0.4081240859
153	0.4077984262
154	0.4075024033
155	0.4073164529
156	0.4071259317
157	0.40684367
158	0.4065668511
159	0.406340131
160	0.4058208108
161	0.405591692
162	0.4054048603
163	0.4051277892
164	0.4049325242
165	0.4047189484
166	0.4045273831
167	0.4042671447
168	0.4040892851
169	0.403709663
170	0.4034231242
171	0.4032197265
172	0.4030103149
173	0.4027620747
174	0.4024761514
175	0.4022115803
176	0.4018770887
177	0.4017481105
178	0.4012529514
179	0.4009928886
180	0.4007111661
181	0.3999741438
182	0.3997852428
183	0.3995167397
184	0.3991161424
185	0.3989794883
186	0.3984855319
187	0.3978920149
188	0.3974605298
189	0.3970327863
190	0.3965960019
191	0.3961792841
192	0.3959377239
193	0.3953675048
194	0.3950279474
195	0.3945957528
196	0.3942613076
197	0.3939535159
198	0.3935630952
199	0.3933485782
200	0.3931226894
201	0.3928547436
202	0.3925313415
203	0.392179574
204	0.3917761796
205	0.3914228246
206	0.390976183
207	0.3907644596
208	0.3905082004
209	0.3900790834
210	0.3897996073
211	0.3891078785
212	0.3887652465
213	0.3884353322
214	0.3882187347
215	0.3875333677
216	0.3869532121
217	0.3867644548
218	0.3865321753
219	0.3863557326
220	0.3857858897
221	0.3852876003
222	0.384947457
223	0.3847417131
224	0.3839886721
225	0.3836027966
226	0.3832956483
227	0.3829737503
228	0.3826727695
229	0.3824522233
230	0.3820318152
231	0.3817435259
232	0.3814772825
233	0.3811621101
234	0.3809423845
235	0.3804892483
236	0.3802292041
237	0.3798371424
238	0.3795620575
239	0.3788520064
240	0.3784901756
241	0.3782358147
242	0.3779655703
243	0.377681956
244	0.3770377202
245	0.3767001816
246	0.3762514244
247	0.3758796242
248	0.3754924278
249	0.3751908192
250	0.3748359398
251	0.3745177257
252	0.3741784466
253	0.3738942229
254	0.3736734488
255	0.3732590264
256	0.3730108216
257	0.3728015758
258	0.3725963409
259	0.3724166936
260	0.3721605915
261	0.3718970132
262	0.3717189665
263	0.3715031743
264	0.3713434233
265	0.371099316
266	0.3708803754
267	0.3706385448
268	0.3704654138
269	0.3701764118
270	0.3699127007
271	0.3697613936
272	0.3695656518
273	0.3693455253
274	0.3691475653
275	0.36889821
276	0.3686811169
277	0.3684003624
278	0.3682144455
279	0.3680302776
280	0.3675091302
281	0.3672768241
282	0.3669049902
283	0.3665406118
284	0.3663846678
285	0.36614004
286	0.3660303992
287	0.3658308568
288	0.3656604881
289	0.3652029332
290	0.3649497586
291	0.3647911364
292	0.3646336932
293	0.3643094712
294	0.3640338315
295	0.3638280574
296	0.3636185284
297	0.3634521407
298	0.3633336717
299	0.3631627277
300	0.3628808669
301	0.3626877254
302	0.3624608748
303	0.3623236454
304	0.3620334283
305	0.3618141188
306	0.361593937
307	0.3614579614
308	0.3610285352
309	0.3607798172
310	0.360567375
311	0.3604122583
312	0.3600840865
313	0.3597500169
314	0.3595324714
315	0.3594068892
316	0.3591801849
317	0.3590207274
318	0.3587533305
319	0.3585800779
320	0.3584516603
321	0.3582980594
322	0.3580862191
323	0.3578957212
324	0.3574758965
325	0.3573342594
326	0.3572085065
327	0.3570149009
328	0.3568463156
329	0.3567161915
330	0.3564219045
331	0.3562011183
332	0.3559028293
333	0.355739382
334	0.3556050047
335	0.3554817333
336	0.3552710884
337	0.3550817364
338	0.3549594801
339	0.3546495367
340	0.3544529414
341	0.3542773356
342	0.3539809507
343	0.3538432665
344	0.3535674276
345	0.353271647
346	0.3530526862
347	0.3528439611
348	0.3526642558
349	0.352493958
350	0.3522958507
351	0.352035654
352	0.3518559364
353	0.3514945646
354	0.3512420709
355	0.351126725
356	0.3508846602
357	0.3507765286
358	0.3505414539
359	0.3504165403
360	0.3502580248
361	0.350092446
362	0.3499617453
363	0.3497410408
364	0.3495563696
365	0.3492947612
366	0.3490226861
367	0.3489452377
368	0.3486370523
369	0.3485204699
370	0.3483737618
371	0.3482419055
372	0.3481385105
373	0.3479378004
374	0.3478222036
375	0.3477424994
376	0.3475331935
377	0.3474024578
378	0.3470116639
379	0.3467410876
380	0.3466260768
381	0.3465248063
382	0.3463454123
383	0.3461606065
384	0.3459861402
385	0.3458251926
386	0.3456361355
387	0.3454821666
388	0.3452874193
389	0.3451804782
390	0.3449525309
391	0.3447255064
392	0.3445114321
393	0.3443359369
394	0.3442404416
395	0.3440907693
396	0.343916811
397	0.3437934682
398	0.3434961055
399	0.3433713698
400	0.3431288133
401	0.3429062256
402	0.3427436899
403	0.3426554609
404	0.3424974432
405	0.3422965278
406	0.3421689511
407	0.3420607342
408	0.3419958632
409	0.3417814809
410	0.3416019795
411	0.3413970092
412	0.3412563663
413	0.3411703492
414	0.341063451
415	0.3408726151
416	0.3406550057
417	0.3404918162
418	0.3403251449
419	0.3401469731
420	0.3400392403
421	0.3398663903
422	0.3397386618
423	0.33946757
424	0.3392259026
425	0.339117884
426	0.3389640698
427	0.3387856055
428	0.3386873787
429	0.3386119226
430	0.3384274971
431	0.3382976152
432	0.3381602669
433	0.3380137724
434	0.3378545365
435	0.3374862037
436	0.3371276472
437	0.3369088335
438	0.3367266938
439	0.3366709916
440	0.3364866837
441	0.3363352906
442	0.3360766949
443	0.3359930456
444	0.3359036294
445	0.3357137458
446	0.3355303329
447	0.3352273154
448	0.3349903044
449	0.3348381937
450	0.3347886135
451	0.3345302064
452	0.3343246845
453	0.334150737
454	0.3338909179
455	0.3336667574
456	0.3334739628
457	0.333312993
458	0.3331697989
459	0.3328835543
460	0.3327915093
461	0.332674188
462	0.3325486036
463	0.3323888801
464	0.3322591449
465	0.3320975212
466	0.3319492443
467	0.3317770259
468	0.3316744679
469	0.3314048746
470	0.3311377567
471	0.3310897667
472	0.33099364
473	0.330811799
474	0.3306837298
475	0.3304414544
476	0.3302425219
477	0.3300023031
478	0.3297067829
479	0.3294182245
480	0.329270196
481	0.328973831
482	0.3287517687
483	0.3286439119
484	0.3285669975
485	0.3284306508
486	0.3283429932
487	0.3282239845
488	0.3281253214
489	0.3279414695
490	0.3277235351
491	0.3276197628
492	0.3275753403
493	0.3274094355
494	0.3272412297
495	0.3270866646
496	0.3268910468
497	0.3267503366
498	0.3264241989
499	0.3261877405
