iter	Passed	Remaining
0	5	2624
1	10	2654
2	14	2405
3	18	2332
4	23	2344
5	27	2262
6	31	2205
7	35	2159
8	39	2156
9	44	2170
10	48	2151
11	52	2129
12	56	2105
13	60	2097
14	64	2082
15	68	2075
16	72	2048
17	76	2042
18	80	2031
19	84	2033
20	88	2026
21	93	2031
22	97	2020
23	102	2024
24	107	2041
25	112	2053
26	119	2087
27	123	2085
28	128	2083
29	132	2077
30	136	2069
31	140	2059
32	145	2055
33	149	2046
34	154	2054
35	158	2048
36	163	2045
37	167	2042
38	171	2031
39	175	2020
40	180	2018
41	184	2010
42	188	2006
43	193	2001
44	197	1996
45	203	2009
46	209	2015
47	214	2016
48	218	2011
49	223	2007
50	227	2001
51	231	1995
52	235	1985
53	239	1980
54	245	1989
55	251	1990
56	256	1991
57	261	1990
58	265	1984
59	270	1986
60	276	1987
61	279	1977
62	283	1969
63	288	1965
64	292	1958
65	297	1955
66	301	1949
67	306	1945
68	311	1944
69	316	1943
70	320	1936
71	324	1928
72	329	1925
73	335	1933
74	340	1928
75	344	1924
76	349	1922
77	354	1917
78	358	1909
79	363	1907
80	368	1905
81	372	1900
82	378	1900
83	383	1900
84	387	1892
85	393	1894
86	399	1897
87	405	1896
88	409	1893
89	414	1890
90	420	1889
91	426	1892
92	431	1888
93	437	1888
94	442	1885
95	446	1878
96	450	1870
97	454	1866
98	459	1860
99	464	1857
100	469	1853
101	473	1848
102	477	1840
103	481	1834
104	486	1829
105	492	1829
106	497	1827
107	502	1824
108	508	1822
109	512	1818
110	516	1810
111	522	1810
112	526	1803
113	531	1799
114	536	1795
115	540	1788
116	545	1784
117	549	1780
118	554	1774
119	558	1767
120	563	1764
121	568	1760
122	572	1755
123	579	1757
124	584	1752
125	627	1862
126	633	1862
127	639	1858
128	645	1857
129	672	1913
130	677	1907
131	681	1900
132	700	1933
133	706	1929
134	711	1922
135	715	1913
136	719	1906
137	725	1904
138	730	1898
139	734	1889
140	739	1883
141	744	1876
142	748	1868
143	754	1864
144	758	1856
145	761	1846
146	765	1837
147	768	1827
148	772	1820
149	776	1811
150	780	1803
151	784	1796
152	788	1788
153	792	1781
154	797	1775
155	801	1767
156	805	1759
157	810	1753
158	814	1746
159	818	1738
160	821	1730
161	825	1723
162	830	1716
163	834	1709
164	839	1703
165	844	1700
166	849	1694
167	853	1687
168	858	1680
169	861	1672
170	865	1665
171	869	1658
172	874	1653
173	878	1646
174	884	1641
175	887	1634
176	892	1628
177	896	1621
178	900	1614
179	904	1608
180	909	1602
181	912	1594
182	916	1587
183	920	1581
184	924	1574
185	928	1566
186	932	1560
187	937	1555
188	941	1549
189	946	1544
190	950	1537
191	954	1530
192	958	1524
193	963	1519
194	967	1513
195	971	1507
196	976	1501
197	980	1495
198	985	1490
199	989	1484
200	993	1478
201	997	1472
202	1001	1465
203	1005	1459
204	1010	1453
205	1014	1447
206	1018	1441
207	1023	1437
208	1027	1431
209	1032	1426
210	1036	1420
211	1041	1414
212	1045	1409
213	1049	1402
214	1054	1397
215	1059	1392
216	1063	1386
217	1066	1380
218	1072	1375
219	1076	1369
220	1080	1364
221	1084	1358
222	1087	1351
223	1091	1344
224	1095	1338
225	1099	1333
226	1103	1326
227	1107	1320
228	1111	1315
229	1115	1309
230	1119	1303
231	1122	1297
